timestamp,heart_rate,enhanced_speed,cadence,power,position_lat,position_long,distance,temperature,fractional_cadence,enhanced_altitude,enhanced_respiration_rate,accumulated_power,unknown_field_0,unknown_field_1,unknown_field_4,unknown_field_8,unknown_field_90,unknown_field_134,unknown_field_137,unknown_field_138,unknown_field_144
Timestamp(2025-03-11T15:24:18+01:00),86,,34,2,,,0.0000,SInt8(19),0.0000,556.6000,,4,,,,,,100,100,100,86
Timestamp(2025-03-11T15:24:19+01:00),85,,34,117,,,0.0000,SInt8(19),0.0000,556.6000,,4,,,,,,100,100,100,85
Timestamp(2025-03-11T15:24:20+01:00),85,,36,117,,,0.0000,SInt8(19),0.0000,556.6000,,238,,,,,,100,100,100,85
Timestamp(2025-03-11T15:24:21+01:00),85,,42,309,,,0.0000,SInt8(19),0.0000,556.6000,,547,,,,,,100,100,100,85
Timestamp(2025-03-11T15:24:22+01:00),86,,60,352,,,0.0000,SInt8(19),0.0000,556.6000,,899,,,,,,100,100,100,86
Timestamp(2025-03-11T15:24:23+01:00),90,,71,230,,,0.0000,SInt8(19),0.0000,556.6000,,1129,,,,,,100,100,100,90
Timestamp(2025-03-11T15:24:24+01:00),93,,75,229,,,0.0000,SInt8(19),0.0000,556.6000,23.6200,1358,,,,,,100,100,100,93
Timestamp(2025-03-11T15:24:25+01:00),95,,80,178,,,0.0000,SInt8(19),0.0000,556.6000,23.6200,1536,,,,,,100,100,100,95
Timestamp(2025-03-11T15:24:26+01:00),97,,76,171,,,0.0000,SInt8(19),0.0000,556.6000,23.6200,1707,,,,,,100,100,100,97
Timestamp(2025-03-11T15:24:27+01:00),98,,78,181,,,0.0000,SInt8(19),0.0000,556.6000,23.6200,1888,,,,,,100,100,100,98
Timestamp(2025-03-11T15:24:28+01:00),98,,73,203,,,0.0000,SInt8(19),0.0000,556.6000,23.6200,2091,,,,,,100,100,100,98
Timestamp(2025-03-11T15:24:29+01:00),99,,73,161,,,0.0000,SInt8(19),0.0000,558.6000,23.0300,2252,,,,,,100,100,100,99
Timestamp(2025-03-11T15:24:30+01:00),99,,75,149,,,0.0000,SInt8(19),0.0000,558.8000,23.0300,2401,,,,,,100,100,100,99
Timestamp(2025-03-11T15:24:31+01:00),99,,76,132,,,0.0000,SInt8(19),0.0000,559.0000,23.0300,2533,,,,,,100,100,100,99
Timestamp(2025-03-11T15:24:32+01:00),99,,77,168,,,0.0000,SInt8(19),0.0000,559.2000,23.0300,2701,,,,,,100,100,100,99
Timestamp(2025-03-11T15:24:33+01:00),101,,80,199,,,0.0000,SInt8(19),0.0000,559.2000,23.6200,2900,,,,,,100,100,100,101
Timestamp(2025-03-11T15:24:34+01:00),103,,80,191,,,0.0000,SInt8(19),0.0000,559.4000,23.6200,3091,,,,,,100,100,100,103
Timestamp(2025-03-11T15:24:35+01:00),104,,81,226,,,0.0000,SInt8(19),0.0000,559.4000,23.6200,3317,,,,,,100,100,100,104
Timestamp(2025-03-11T15:24:36+01:00),106,,83,164,,,0.0000,SInt8(19),0.0000,559.6000,23.6200,3481,,,,,,100,100,100,106
Timestamp(2025-03-11T15:24:37+01:00),107,,83,150,,,0.0000,SInt8(19),0.0000,559.6000,23.6200,3631,,,,,,100,100,100,107
Timestamp(2025-03-11T15:24:38+01:00),108,,83,197,,,0.0000,SInt8(19),0.0000,559.8000,24.8000,3828,,,,,,100,100,100,108
Timestamp(2025-03-11T15:24:39+01:00),110,,84,150,,,0.0000,SInt8(19),0.0000,559.8000,24.8000,3978,,,,,,100,100,100,110
Timestamp(2025-03-11T15:24:40+01:00),110,,84,152,,,0.0000,SInt8(19),0.0000,560.0000,24.8000,4130,,,,,,100,100,100,110
Timestamp(2025-03-11T15:24:41+01:00),111,,84,155,,,0.0000,SInt8(19),0.0000,560.0000,24.8000,4285,,,,,,100,100,100,111
